Week,Day,Date,time,boxscore,Win/Loss,OT,Rec,away,Opp,Tm,OppScore,1stD,TotYd,PassY,RushY,TOL,1stD,TotYd,DPassY,DRushY,TOG,Offense,Defense,Sp. Tms
1,Sun,September 9,1:00PM ET,boxscore,L,,0-1,@,Baltimore Ravens,3,47,10,153,70,83,2,26,369,252,117,1,-28.71,-7.23,-2.33
2,Sun,September 16,1:00PM ET,boxscore,L,,0-2,,Los Angeles Chargers,20,31,17,293,209,84,2,21,349,240,109,,-1.04,-14.41,-0.51
3,Sun,September 23,1:00PM ET,boxscore,W,,1-2,@,Minnesota Vikings,27,6,16,292,164,128,,21,292,278,14,3,3.26,10.71,3.62
4,Sun,September 30,1:00PM ET,boxscore,L,,1-3,@,Green Bay Packers,0,22,11,145,87,58,3,22,423,282,141,2,-21.05,-2.71,7.70
5,Sun,October 7,1:00PM ET,boxscore,W,,2-3,,Tennessee Titans,13,12,18,223,79,144,1,15,221,121,100,3,-2.83,12.22,-8.39
6,Sun,October 14,1:00PM ET,boxscore,L,,2-4,@,Houston Texans,13,20,12,229,129,100,3,15,216,142,74,3,-17.49,12.36,-6.15
7,Sun,October 21,1:00PM ET,boxscore,L,,2-5,@,Indianapolis Colts,5,37,15,303,168,135,5,22,376,156,220,,-22.35,-22.28,7.56
8,Mon,October 29,8:15PM ET,boxscore,L,,2-6,,New England Patriots,6,25,16,333,287,46,2,22,387,311,76,,-20.65,-3.65,6.52
9,Sun,November 4,1:00PM ET,boxscore,L,,2-7,,Chicago Bears,9,41,22,264,166,98,4,11,190,126,64,1,-29.93,2.58,-2.21
10,Sun,November 11,1:00PM ET,boxscore,W,,3-7,@,New York Jets,41,10,23,451,239,212,,12,199,116,83,2,16.35,15.96,5.86
12,Sun,November 25,1:00PM ET,boxscore,W,,4-7,,Jacksonville Jaguars,24,21,18,327,160,167,,25,333,107,226,2,7.07,0.38,-2.11
13,Sun,December 2,1:00PM ET,boxscore,L,,4-8,@,Miami Dolphins,17,21,24,415,217,198,3,15,175,115,60,1,10.93,-0.01,-9.78
14,Sun,December 9,1:00PM ET,boxscore,L,,4-9,,New York Jets,23,27,24,368,192,176,3,15,248,170,78,2,6.81,-4.74,-5.69
15,Sun,December 16,1:00PM ET,boxscore,W,,5-9,,Detroit Lions,14,13,20,312,195,117,,14,313,208,105,,6.53,-4.83,-0.58
16,Sun,December 23,1:00PM ET,boxscore,L,,5-10,@,New England Patriots,12,24,14,289,217,72,3,20,390,117,273,3,-16.90,6.39,-2.11
17,Sun,December 30,1:00PM ET,boxscore,W,,6-10,,Miami Dolphins,42,17,23,381,215,166,1,17,225,126,99,4,13.10,16.21,-4.96
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 8,1:00PM ET,boxscore,W,,1-0,@,New York Jets,17,16,23,370,242,128,4,17,223,155,68,1,-3.17,7.39,-1.63
2,Sun,September 15,1:00PM ET,boxscore,W,,2-0,@,New York Giants,28,14,24,388,237,151,,21,370,241,129,2,6.57,2.11,3.56
3,Sun,September 22,1:00PM ET,boxscore,W,,3-0,,Cincinnati Bengals,21,17,25,416,241,175,2,17,306,240,66,4,1.80,9.17,-8.04
4,Sun,September 29,1:00PM ET,boxscore,L,,3-1,,New England Patriots,10,16,23,375,240,135,4,11,224,150,74,1,-12.71,14.59,-6.09
5,Sun,October 6,1:00PM ET,boxscore,W,,4-1,@,Tennessee Titans,14,7,18,313,204,109,1,14,252,150,102,,-1.16,3.60,8.64
7,Sun,October 20,1:00PM ET,boxscore,W,,5-1,,Miami Dolphins,31,21,17,305,188,117,,24,381,272,109,2,5.07,-5.68,3.71
8,Sun,October 27,1:00PM ET,boxscore,L,,5-2,,Philadelphia Eagles,13,31,16,253,155,98,1,21,371,153,218,1,-7.91,-10.88,5.78
9,Sun,November 3,1:00PM ET,boxscore,W,,6-2,,Washington Redskins,24,9,18,268,146,122,,12,243,116,127,,5.68,6.04,4.24
10,Sun,November 10,1:00PM ET,boxscore,L,,6-3,@,Cleveland Browns,16,19,20,344,260,84,,24,368,221,147,,4.32,-9.80,-0.44
11,Sun,November 17,1:00PM ET,boxscore,W,,7-3,@,Miami Dolphins,37,20,22,424,256,168,,19,303,280,23,1,15.20,11.58,-7.56
12,Sun,November 24,1:00PM ET,boxscore,W,,8-3,,Denver Broncos,20,3,22,424,180,244,1,9,134,49,85,1,8.50,14.64,-3.59
13,Thu,November 28,4:30PM ET,boxscore,W,,9-3,@,Dallas Cowboys,26,15,22,356,232,124,,32,426,323,103,2,17.02,-7.13,5.01
14,Sun,December 8,1:00PM ET,boxscore,L,,9-4,,Baltimore Ravens,17,24,16,209,105,104,1,18,257,139,118,1,-10.78,0.75,2.47
15,Sun,December 15,8:20PM ET,boxscore,W,,10-4,@,Pittsburgh Steelers,17,10,17,261,131,130,2,15,229,178,51,5,-6.56,17.22,-3.78
16,Sat,December 21,4:30PM ET,boxscore,L,,10-5,@,New England Patriots,17,24,14,268,176,92,,23,414,271,143,1,-0.45,-6.06,0.88
17,Sun,December 29,1:00PM ET,boxscore,L,,10-6,,New York Jets,6,13,17,309,236,73,3,18,271,185,86,1,-13.72,3.92,1.10
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 13,1:00PM ET,boxscore,W,,1-0,,New York Jets,27,17,31,404,306,98,2,15,254,202,52,2,14.47,0.12,-3.63
2,Sun,September 20,1:00PM ET,boxscore,W,,2-0,@,Miami Dolphins,31,28,23,523,411,112,1,28,410,311,99,,21.16,-12.70,-2.30
3,Sun,September 27,1:00PM ET,boxscore,W,,3-0,,Los Angeles Rams,35,32,23,375,274,101,2,28,478,311,167,2,17.83,-19.86,6.79
4,Sun,October 4,4:25PM ET,boxscore,W,,4-0,@,Las Vegas Raiders,30,23,21,337,274,63,,24,383,297,86,2,16.49,-7.20,-1.37
5,Tue,October 13,7:00PM ET,boxscore,L,,4-1,@,Tennessee Titans,16,42,23,370,275,95,3,25,334,195,139,,1.55,-24.29,-0.82
6,Mon,October 19,5:00PM ET,boxscore,L,,4-2,,Kansas City Chiefs,17,26,20,206,122,84,1,27,466,221,245,1,4.19,-21.56,8.48
7,Sun,October 25,1:00PM ET,boxscore,W,,5-2,@,New York Jets,18,10,26,422,296,126,1,17,191,91,100,2,6.27,8.08,-3.23
8,Sun,November 1,1:00PM ET,boxscore,W,,6-2,,New England Patriots,24,21,22,339,149,190,1,20,349,161,188,1,8.85,-8.26,0.85
9,Sun,November 8,1:00PM ET,boxscore,W,,7-2,,Seattle Seahawks,44,34,27,420,386,34,,22,419,362,57,4,17.05,-9.12,4.66
10,Sun,November 15,4:05PM ET,boxscore,L,,7-3,@,Arizona Cardinals,30,32,22,369,296,73,2,26,453,236,217,2,3.67,-8.17,4.77
12,Sun,November 29,1:00PM ET,boxscore,W,,8-3,,Los Angeles Chargers,27,17,23,332,160,172,3,24,367,291,76,1,5.65,-4.93,4.65
13,Mon,December 7,8:15PM ET,boxscore,W,,9-3,@,San Francisco 49ers,34,24,31,449,368,81,1,24,402,316,86,2,18.14,-6.59,0.36
14,Sun,December 13,8:20PM ET,boxscore,W,,10-3,,Pittsburgh Steelers,26,15,21,334,230,104,2,14,224,177,47,2,3.18,11.72,-0.16
15,Sat,December 19,4:30PM ET,boxscore,W,,11-3,@,Denver Broncos,48,19,29,534,352,182,1,19,255,115,140,1,28.80,3.55,-0.71
16,Mon,December 28,8:15PM ET,boxscore,W,,12-3,@,New England Patriots,38,9,31,474,344,130,,11,201,56,145,,26.17,2.39,-1.10
17,Sun,January 3,1:00PM ET,boxscore,W,,13-3,,Miami Dolphins,56,26,24,455,377,78,2,27,454,384,70,4,19.85,8.17,2.88
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 12,1:00PM ET,boxscore,L,,0-1,,Pittsburgh Steelers,16,23,22,371,254,117,1,16,252,177,75,,-3.55,0.54,-5.01
2,Sun,September 19,1:00PM ET,boxscore,W,,1-1,@,Miami Dolphins,35,0,21,314,171,143,2,13,216,145,71,3,8.16,24.67,-0.37
3,Sun,September 26,1:00PM ET,boxscore,W,,2-1,,Washington Football Team,43,21,29,481,359,122,,13,290,212,78,3,20.55,8.27,-7.29
4,Sun,October 3,1:00PM ET,boxscore,W,,3-1,,Houston Texans,40,0,26,450,251,199,1,6,109,61,48,5,14.54,32.68,-6.40
5,Sun,October 10,8:20PM ET,boxscore,W,,4-1,@,Kansas City Chiefs,38,20,20,436,315,121,,29,392,272,120,4,19.84,1.20,-1.50
6,Mon,October 18,8:15PM ET,boxscore,L,,4-2,@,Tennessee Titans,31,34,28,417,335,82,1,16,362,216,146,1,13.13,-15.97,-0.79
8,Sun,October 31,1:00PM ET,boxscore,W,,5-2,,Miami Dolphins,26,11,24,351,249,102,,16,262,194,68,2,4.52,8.74,1.89
9,Sun,November 7,1:00PM ET,boxscore,L,,5-3,@,Jacksonville Jaguars,6,9,17,301,229,72,3,16,218,139,79,1,-12.53,8.40,-1.32
10,Sun,November 14,1:00PM ET,boxscore,W,,6-3,@,New York Jets,45,17,26,489,350,139,2,22,366,296,70,5,22.44,5.27,-0.62
11,Sun,November 21,1:00PM ET,boxscore,L,,6-4,,Indianapolis Colts,15,41,19,311,220,91,4,28,370,106,264,,2.80,-20.21,-6.78
12,Thu,November 25,8:20PM ET,boxscore,W,,7-4,@,New Orleans Saints,31,6,21,361,248,113,2,12,190,146,44,1,11.92,15.07,0.25
13,Mon,December 6,8:15PM ET,boxscore,L,,7-5,,New England Patriots,10,14,16,230,131,99,1,11,241,19,222,1,-7.94,1.79,0.85
14,Sun,December 12,4:25PM ET,boxscore,L,OT,7-6,@,Tampa Bay Buccaneers,27,33,27,466,293,173,1,26,488,351,137,,7.42,-18.05,5.48
15,Sun,December 19,1:00PM ET,boxscore,W,,8-6,,Carolina Panthers,31,14,21,312,193,119,1,19,275,124,151,1,9.55,11.11,-1.29
16,Sun,December 26,1:00PM ET,boxscore,W,,9-6,@,New England Patriots,33,21,28,428,314,114,,20,288,139,149,2,19.09,-9.37,-1.08
17,Sun,January 2,1:00PM ET,boxscore,W,,10-6,,Atlanta Falcons,29,15,28,351,118,233,3,18,265,169,96,1,12.95,1.07,-1.41
18,Sun,January 9,4:25PM ET,boxscore,W,,11-6,,New York Jets,27,10,25,424,254,170,,4,53,5,48,,8.18,23.07,-14.05
,,,,,,,,,,,,,,,,,,,,,,,,
1,Thu,September 8,8:20PM ET,boxscore,W,,1-0,@,Los Angeles Rams,31,10,23,413,292,121,4,19,243,191,52,3,13.89,10.29,-3.96
2,Mon,September 19,7:15PM ET,boxscore,W,,2-0,,Tennessee Titans,41,7,23,414,313,101,,12,187,107,80,4,17.69,18.01,1.55
3,Sun,September 25,1:00PM ET,boxscore,L,,2-1,@,Miami Dolphins,19,21,31,497,382,115,1,15,212,171,41,,15.88,-7.45,-4.86
4,Sun,October 2,1:00PM ET,boxscore,W,,3-1,@,Baltimore Ravens,23,20,22,326,201,125,2,22,296,134,162,2,2.10,2.66,-1.69
5,Sun,October 9,1:00PM ET,boxscore,W,,4-1,,Pittsburgh Steelers,38,3,21,552,432,120,2,23,364,310,54,2,20.66,9.42,3.54
6,Sun,October 16,4:25PM ET,boxscore,W,,5-1,@,Kansas City Chiefs,24,20,26,443,318,125,1,23,387,319,68,2,11.13,-6.45,0.56
8,Sun,October 30,8:20PM ET,boxscore,W,,6-1,,Green Bay Packers,27,17,20,369,216,153,2,21,398,190,208,1,12.79,-5.55,4.01
9,Sun,November 6,1:00PM ET,boxscore,L,,6-2,@,New York Jets,17,20,19,317,183,134,2,21,310,136,174,1,0.54,-7.64,2.11
10,Sun,November 13,1:00PM ET,boxscore,L,OT,6-3,,Minnesota Vikings,30,33,29,486,311,175,4,24,481,334,147,2,1.45,-4.80,-0.39
11,Sun,November 20,1:00PM ET,boxscore,W,,7-3,,Cleveland Browns,31,23,22,357,186,171,,27,396,316,80,1,6.00,-10.86,13.72
12,Thu,November 24,12:30PM ET,boxscore,W,,8-3,@,Detroit Lions,28,25,28,401,237,164,1,22,326,230,96,2,16.07,-12.71,-3.07
13,Thu,December 1,8:15PM ET,boxscore,W,,9-3,@,New England Patriots,24,10,22,355,223,132,1,14,242,182,60,,9.50,1.41,3.26
14,Sun,December 11,1:00PM ET,boxscore,W,,10-3,,New York Jets,20,12,14,232,130,102,,19,309,233,76,2,-5.17,12.35,3.77
15,Sat,December 17,8:15PM ET,boxscore,W,,11-3,,Miami Dolphins,32,29,29,446,296,150,1,20,405,217,188,,19.07,-10.87,-4.20
16,Sat,December 24,1:00PM ET,boxscore,W,,12-3,@,Chicago Bears,35,13,20,426,172,254,3,11,209,129,80,2,9.47,20.55,-9.39
18,Sun,January 8,1:00PM ET,boxscore,W,,13-3,,New England Patriots,35,23,18,327,237,90,3,20,341,234,107,3,5.28,2.57,7.70
,,,,,,,,,,,,,,,,,,,,,,,,
1,Mon,September 11,8:15PM ET,boxscore,L,OT,0-1,@,New York Jets,16,22,19,314,217,97,4,13,289,117,172,1,-4.85,1.19,-2.27
2,Sun,September 17,1:00PM ET,boxscore,W,,1-1,,Las Vegas Raiders,38,10,29,450,267,183,,13,240,185,55,3,27.19,4.89,-3.85
3,Sun,September 24,1:00PM ET,boxscore,W,,2-1,@,Washington Commanders,37,3,20,386,218,168,1,15,230,125,105,5,10.16,23.07,-1.39
4,Sun,October 1,1:00PM ET,boxscore,W,,3-1,,Miami Dolphins,48,20,24,414,310,104,,20,393,251,142,2,27.56,2.09,-1.37
5,Sun,October 8,9:30AM ET,boxscore,L,,3-2,,Jacksonville Jaguars,20,25,18,388,359,29,2,29,474,278,196,2,6.27,-13.93,-2.21
6,Sun,October 15,8:20PM ET,boxscore,W,,4-2,,New York Giants,14,9,22,297,169,128,2,20,317,185,132,,2.90,-3.02,-6.70
7,Sun,October 22,1:00PM ET,boxscore,L,,4-3,@,New England Patriots,25,29,24,339,258,81,2,21,364,268,96,1,11.63,-10.65,-5.61
8,Thu,October 26,8:15PM ET,boxscore,W,,5-3,,Tampa Bay Buccaneers,24,18,25,427,312,115,1,17,302,224,78,,9.78,-3.38,-1.24
9,Sun,November 5,8:20PM ET,boxscore,L,,5-4,@,Cincinnati Bengals,18,24,21,317,249,68,2,23,397,343,54,,6.05,-14.35,0.96
10,Mon,November 13,8:15PM ET,boxscore,L,,5-5,,Denver Broncos,22,24,18,369,177,192,4,19,300,178,122,1,-0.44,4.09,-4.65
11,Sun,November 19,4:25PM ET,boxscore,W,,6-5,,New York Jets,32,6,22,393,263,130,1,14,155,92,63,4,14.64,15.34,1.82
12,Sun,November 26,4:25PM ET,boxscore,L,OT,6-6,@,Philadelphia Eagles,34,37,29,505,332,173,1,24,378,193,185,2,13.85,-7.60,-9.18
14,Sun,December 10,4:25PM ET,boxscore,W,,7-6,@,Kansas City Chiefs,20,17,21,327,209,118,1,21,346,264,82,2,1.78,2.22,0.36
15,Sun,December 17,4:25PM ET,boxscore,W,,8-6,,Dallas Cowboys,31,10,28,351,85,266,,14,195,106,89,1,19.98,3.23,-3.82
16,Sat,December 23,8:00PM ET,boxscore,W,,9-6,@,Los Angeles Chargers,24,22,16,335,230,105,3,18,273,175,98,,7.67,4.02,-9.12
17,Sun,December 31,1:00PM ET,boxscore,W,,10-6,,New England Patriots,27,21,19,281,154,127,1,16,294,191,103,4,0.15,11.94,-1.73
18,Sun,January 7,8:20PM ET,boxscore,W,,11-6,@,Miami Dolphins,21,14,26,473,345,128,3,16,275,167,108,2,12.65,-3.92,3.03
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,September 8,1:00PM ET,boxscore,W,,1-0,,Arizona Cardinals,34,28,23,352,222,130,1,18,270,146,124,1,13.51,-3.22,-2.25
2,Thu,September 12,8:15PM ET,boxscore,W,,2-0,@,Miami Dolphins,31,10,13,247,139,108,,20,351,212,139,3,8.59,14.11,-2.53
3,Mon,September 23,7:30PM ET,boxscore,W,,3-0,,Jacksonville Jaguars,47,10,25,388,266,122,,19,239,147,92,2,28.39,12.44,-6.15
4,Sun,September 29,8:20PM ET,boxscore,L,,3-1,@,Baltimore Ravens,10,35,12,236,155,81,1,22,427,156,271,1,-6.92,-19.69,2.37
5,Sun,October 6,1:00PM ET,boxscore,L,,3-2,@,Houston Texans,20,23,16,276,126,150,,18,425,331,94,2,-1.59,0.68,-2.09
6,Mon,October 14,8:15PM ET,boxscore,W,,4-2,@,New York Jets,23,20,24,359,210,149,,20,393,272,121,1,14.90,-13.81,0.34
7,Sun,October 20,1:00PM ET,boxscore,W,,5-2,,Tennessee Titans,34,10,18,389,315,74,,18,289,200,89,2,15.86,12.71,-4.40
8,Sun,October 27,4:05PM ET,boxscore,W,,6-2,@,Seattle Seahawks,31,10,29,445,281,164,1,17,233,201,32,2,16.41,8.68,-2.10
9,Sun,November 3,1:00PM ET,boxscore,W,,7-2,,Miami Dolphins,30,27,24,325,231,94,1,26,373,224,149,1,13.82,-15.80,6.12
10,Sun,November 10,1:00PM ET,boxscore,W,,8-2,@,Indianapolis Colts,30,20,21,415,280,135,2,19,361,240,121,4,4.88,6.55,-1.17
11,Sun,November 17,4:25PM ET,boxscore,W,,9-2,,Kansas City Chiefs,30,21,24,366,262,104,1,19,259,181,78,2,14.81,-6.03,-0.41